SIREN,ORGA_NOM,type,nb-ptf,nb-datagouv,year,2022
213500010,ACIGNE,COM,4.0,0.0,2022,4.0
254002272,ADACL Landes,AGCT,0.0,5.0,2022,5.0
306966110,ADEUPa,OACT,20.0,0.0,2022,20.0
384452611,ADICO SMI OISE,AGCT,1.0,0.0,2022,1.0
214700015,AGEN,COM,1.0,86.0,2022,87.0
776258261,AGENCE DE DEV. TOURISTIQUE DE L'ARDECHE,OACT,0.0,0.0,2022,0.0
392178570,AGENCE DE TOURISME DE LA CORSE,OACT,14.0,0.0,2022,14.0
775598998,AGENCE DE TOURISME LOIR ET CHER (ADT41),OACT,2.0,0.0,2022,2.0
287500052,AGENCE DES ESPACES VERTS ILE DE FRANCE,OACT,23.0,4.0,2022,27.0
254003304,AGENCE LANDAISE POUR L'INFORMATIQUE,AGCT,3.0,3.0,2022,6.0
256404393,AGENCE PUBLIQUE DE GESTION LOCALE PYR. ATLANTIQUES,AGCT,0.0,1.0,2022,1.0
216400085,AHAXE-ALCIETTE-BASCASSAN,COM,0.0,2.0,2022,2.0
210400016,AIGLUN,COM,4.0,0.0,2022,4.0
210500039,AIGUILLES,COM,0.0,1.0,2022,1.0
220100010,AIN,DEP,39.0,223.0,2022,262.0
216400119,AINCILE,COM,0.0,3.0,2022,3.0
216400119,AINCILLE,COM,0.0,3.0,2022,3.0
216400135,AINHICE MONGELOS,COM,0.0,2.0,2022,2.0
216400143,AINHOA,COM,0.0,2.0,2022,2.0
404453110,AIR BREIZH,OACT,46.0,0.0,2022,46.0
323266205,AIR PAYS DE LA LOIRE,OACT,58.0,10.0,2022,68.0
214000010,AIRE SUR L'ADOUR,COM,0.0,1.0,2022,1.0
316465236,AIRPARIF,OACT,457.0,13.0,2022,470.0
211300017,AIX EN PROVENCE,COM,2.0,0.0,2022,2.0
217300086,AIX LES BAINS,COM,0.0,1.0,2022,1.0
218700102,AIXE SUR VIENNE,COM,0.0,1.0,2022,1.0
218100048,ALBI,COM,26.0,0.0,2022,26.0
215600016,ALLAIRE,COM,0.0,1.0,2022,1.0
220400014,ALPES DE HAUTE PROVENCE,DEP,47.0,47.0,2022,94.0
220600019,ALPES MARITIMES,DEP,29.0,29.0,2022,58.0
248000531,AMIENS METROPOLE,CA,0.0,1.0,2022,1.0
213000102,ANDUZE,COM,0.0,3.0,2022,3.0
214900078,ANGERS,COM,74.0,0.0,2022,74.0
244900015,ANGERS LOIRE METROPOLE,CU,38.0,131.0,2022,169.0
216400242,ANGLET,COM,73.0,85.0,2022,158.0
200063402,ANNECY,COM,0.0,8.0,2022,8.0
210600045,ANTIBES JUAN LES PINS,COM,155.0,155.0,2022,310.0
784237539,APUR,OACT,98.0,0.0,2022,98.0
451366611,ARCADI ILE DE FRANCE,OACT,10.0,0.0,2022,10.0
220700017,ARDECHE,DEP,0.0,0.0,2022,0.0
487977985,ARDTA,OACT,0.0,0.0,2022,0.0
200059061,ARELAUNE EN SEINE,COM,0.0,1.0,2022,1.0
219500188,ARGENTEUIL,COM,0.0,43.0,2022,43.0
213600067,ARGENTON-SUR-CREUSE,COM,0.0,8.0,2022,8.0
216400457,ARHANSUS,COM,0.0,2.0,2022,2.0
220900013,ARIEGE,DEP,0.0,1.0,2022,1.0
447740036,ARL PACA,OACT,4.0,0.0,2022,4.0
215900176,ARMENTIERES,COM,0.0,1.0,2022,1.0
305350795,ARSUD,OACT,5.0,0.0,2022,5.0
210500070,ARVIEUX,COM,0.0,1.0,2022,1.0
216400663,ASCARAT,COM,0.0,2.0,2022,2.0
219200045,ASNIERES SUR SEINE,COM,5.0,1.0,2022,6.0
210500088,ASPREMONT(05),COM,0.0,1.0,2022,1.0
210500096,ASPRES-LES-CORPS,COM,0.0,1.0,2022,1.0
210500104,ASPRES-SUR-BUECH,COM,0.0,1.0,2022,1.0
200050714,ATD 36 INDRE,OACT,0.0,4.0,2022,4.0
200044543,ATD DE LA CHARENTE,OACT,0.0,1.0,2022,1.0
252405147,ATD DE LA DORDOGNE,OACT,0.0,1.0,2022,1.0
534194451,ATMO AUVERGNE RHONE ALPES,OACT,159.0,6.0,2022,165.0
829854181,ATMO BOURGOGNE FRANCHE COMTE,OACT,6.0,6.0,2022,12.0
822734307,ATMO GRAND EST,OACT,147.0,102.0,2022,249.0
420010878,ATMO GUYANE,OACT,12.0,0.0,2022,12.0
478029127,ATMO HAUTS DE FRANCE,OACT,39.0,0.0,2022,39.0
