0,Syndicat Mixte Informatique Alpes Maritimes (SICTIAM),,,1.0,,,
0,Syndicat Mixte Informatique Manche (Manche Numérique),,,1.0,,,
0,Syndicat Mixte Informatique Val-de-Marne (INFOCOM'94),,,1.0,,,
0,Syndicat Mixte Informatique GéoBourgogne,,,1.0,,,
0,Syndicat Mixte Informatique Pays Midi-Quercy,,,1.0,,,
0,Syndicat Mixte Energie Morbilhan énergies,,,1.0,,,
0,Syndicat Mixte Transport Bouche-du-Rhone (Le Pilote),,,1.0,,,
0,Syndicat Mixte Tourisme Bouche-du-Rhone ,,,1.0,,,
0,Syndicat Mixte Transport Collectif Oise (SMTCO),,,1.0,,,
0,Syndicat Mixte Déceht (DECOSEPT),,,1.0,,,
0,Morbihan Energie,,,1.0,,,
0,GIP Bretagne Environnement,,,1.0,,,
0,Comité Départemental du Tourisme de Gironde,,,1.0,,,
0,Comité Départemental du Tourisme des Bouches-du-Rhône,,,1.0,,,
0,Comité Départemental du Var,,,1.0,,,
0,Comité Départemental du Morbihan,,,1.0,,,
241300417,,CA ARLES CRAU CAMARGUE MONTAGNETTE,CA ARLES CRAU CAMARGUE MONTAGNETTE,,10.0,33.0,56.0
242900314,,BREST METROPOLE,BREST METROPOLE,,5.0,215.0,204.0
243300316,,BORDEAUX METROPOLE,BORDEAUX METROPOLE,,225.0,260.0,467.0
245400676,,METROPOLE DU GRAND NANCY,METROPOLE DU GRAND NANCY,,48.0,51.0,18.0
214000564,,BROCAS LES FORGES,BROCAS LES FORGES,,100.0,121.0,106.0
213303662,,SAINT ANDRE DE CUBZAC,SAINT ANDRE DE CUBZAC,,1.0,1.0,1.0
226000016,,OISE,OISE,,176.0,179.0,179.0
225005024,,MANCHE,MANCHE,,78.0,85.0,85.0
224100016,,LOIR ET CHER,LOIR ET CHER,,69.0,69.0,76.0
227100013,,SAONE ET LOIRE,SAONE ET LOIRE,,424.0,77.0,132.0
221500010,,CANTAL,CANTAL,,10.0,5.0,5.0
200053759,,NOUVELLE AQUITAINE,NOUVELLE AQUITAINE,,2.0,2.0,10.0
200053742,,HAUTS DE FRANCE,HAUTS DE FRANCE,,168.0,334.0,488.0
217701317,,COULOMMIERS,COULOMMIERS,,26.0,26.0,26.0
200046977,,GRAND LYON,METROPOLE DE LYON,,1714.0,1148.0,1351.0
219400587,,LE PERREUX SUR MARNE,LE PERREUX SUR MARNE,,2.0,2.0,2.0
219300456,,LES LILAS,LES LILAS,,7.0,71.0,31.0
219103454,,LONGJUMEAU,LONGJUMEAU,,13.0,13.0,13.0
217500016,,PARIS,PARIS,,684.0,727.0,846.0
